Ref,Val,Package,PosX,PosY,Rot,Side
"R5","10k","GSG-0402",5.007150,-4.456165,-45.000000,top
"R6","10k","GSG-0402",5.037150,-4.426165,-45.000000,top
"R7","10k","GSG-0402",2.232150,-4.181165,90.000000,top
"R8","1k","GSG-0402",3.174945,-4.102031,-90.000000,top
"R9","1k","GSG-0402",3.224945,-4.102031,-90.000000,top
"R10","1k","GSG-0402",3.297945,-4.102031,-90.000000,top
"R11","10k","GSG-0402",5.309150,-4.159165,180.000000,top
"R13","1k","GSG-0402",3.347945,-4.102031,-90.000000,top
"R14","4k7","GSG-0402",3.347945,-4.222031,-90.000000,top
"R15","4k7","GSG-0402",3.297945,-4.222031,-90.000000,top
"R16","4k7","GSG-0402",3.224945,-4.222031,-90.000000,top
"R17","4k7","GSG-0402",3.174945,-4.222031,-90.000000,top
"R18","1k8","GSG-0402",2.052150,-4.551165,0.000000,top
"R19","39","GSG-0402",2.275150,-3.713165,90.000000,top
"R20","0","GSG-0402",3.497445,-4.231531,-90.000000,top
"R21","0","GSG-0402",3.547445,-4.231531,-90.000000,top
"R22","0","GSG-0402",3.620445,-4.231531,-90.000000,top
"R23","0","GSG-0402",3.670445,-4.231531,-90.000000,top
"R24","5k1","GSG-0402",6.504827,-3.907701,90.000000,top
"R25","475","GSG-0402",4.097445,-4.767902,0.000000,top
"R26","475","GSG-0402",4.097445,-4.727902,0.000000,top
"R27","1k8","GSG-0402",4.842150,-5.652165,0.000000,top
"R28","1k8","GSG-0402",4.813150,-5.529165,0.000000,top
"R29","5k1","GSG-0402",6.461520,-3.907701,90.000000,top
"R30","39","GSG-0402",2.275150,-4.223165,90.000000,top
"R31","39","GSG-0402",4.577150,-5.515165,-90.000000,top
"R32","39","GSG-0402",4.621150,-5.459165,-90.000000,top
"R33","39","GSG-0402",4.872150,-5.805165,90.000000,top
"R34","39","GSG-0402",4.436945,-5.605402,0.000000,top
"R36","10k","GSG-0402",2.607039,-5.950417,90.000000,top
"R37","10k","GSG-0402",5.863094,-4.163606,0.000000,top
"R38","1k","GSG-0402",2.388039,-5.536417,180.000000,top
"R39","10k","GSG-0402",2.433039,-5.810417,180.000000,top
"R40","10k","GSG-0402",2.431039,-5.671417,0.000000,top
"R41","10k","GSG-0402",5.062150,-4.271165,0.000000,top
"R42","1.5k","GSG-0402",2.340039,-5.792417,90.000000,top
"R43","1.5k","GSG-0402",2.341039,-5.708417,90.000000,top
"R44","1.5k","GSG-0402",2.373039,-5.877417,-90.000000,top
"R46","162k","GSG-0402",6.389354,-3.858929,180.000000,top
"R47","330k","GSG-0402",6.389354,-3.898929,0.000000,top
"R48","10k","GSG-0402",6.067150,-5.216165,180.000000,top
"R49","10k","GSG-0402",2.232150,-3.671165,-90.000000,top
"R51","10k","GSG-0402",5.851283,-3.958882,180.000000,top
"R52","10k","GSG-0402",6.512701,-3.612425,90.000000,top
"R54","10k","GSG-0402",5.994354,-3.708929,0.000000,top
"R55","162k","GSG-0402",6.389354,-3.608929,180.000000,top
"R56","715k","GSG-0402",6.389354,-3.568929,180.000000,top
"R57","0","GSG-0402",5.957583,-4.191165,90.000000,top
"R58","0","GSG-0402",5.890654,-4.230535,90.000000,top
"R59","10k","GSG-0402",5.112150,-5.458165,180.000000,top
"R62","0","GSG-0402",5.827661,-4.061244,0.000000,top
"R63","10k","GSG-0402",5.709150,-4.027165,-90.000000,top
"R64","10k","GSG-0402",5.664150,-4.070165,90.000000,top
"R65","10k","GSG-0402",5.823724,-4.116362,180.000000,top
"R66","10k","GSG-0402",5.735150,-3.891953,180.000000,top
"R67","10k","GSG-0402",5.062150,-4.171165,180.000000,top
"R68","10k","GSG-0402",5.062150,-4.221165,180.000000,top
"R69","12k","GSG-0402",5.785153,-4.356445,45.000000,top
"R72","470","GSG-0402",2.052150,-4.731165,0.000000,top
"R73","1k","GSG-0402",2.052150,-4.911165,0.000000,top
"R74","1k8","GSG-0402",2.052150,-5.091165,0.000000,top
"R75","470","GSG-0402",2.042150,-3.896165,0.000000,top
"R76","1k","GSG-0402",2.052150,-4.396165,0.000000,top
"R77","39","GSG-0402",5.084945,-3.818402,180.000000,top
"R78","39","GSG-0402",5.084945,-3.858402,180.000000,top
"R79","39","GSG-0402",5.084945,-3.898402,180.000000,top
"R80","39","GSG-0402",5.084945,-3.938402,180.000000,top
"R81","39","GSG-0402",5.084945,-3.978402,180.000000,top
"R85","10k","GSG-0402",4.740150,-5.966165,-90.000000,top
"R86","39","GSG-0402",5.084945,-4.018402,180.000000,top
"R87","39","GSG-0402",5.084945,-4.058402,180.000000,top
"R88","39","GSG-0402",4.849150,-4.359165,90.000000,top
"R89","39","GSG-0402",4.788945,-4.360402,90.000000,top
